;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;6.36499482404;0.0;2.19928274735;-9999;32.6041421069;1.0
1;0.2;6.98254195222;0.050767090666;0.581933504531;0.0160998765596;36.2652502537;13.0
2;0.3;7.3282370254;0.0448735186165;0.415463720174;0.00953052223682;40.9132320404;24.0
3;0.4;7.94139908436;0.0365817481846;0.348840402225;0.00727658433414;41.989988642;29.0
4;0.5;8.51017067967;0.0528366701227;0.34068044434;0.0112714136642;43.9640911345;28.0
5;0.6;8.86435563124;0.0459403404874;0.326445382781;0.00978387082313;45.4551829076;27.0
6;0.7;9.15340149895;0.0330500122645;0.381698185222;0.00895562663517;46.9951725176;18.0
7;0.8;9.21773872649;0.0426626006186;0.445347346474;0.0128536373914;47.659336982;15.0
8;0.9;9.3018097725;0.100212006735;0.790615125327;0.0545041962376;48.1154729851;6.0
9;-9999;-9999;-9999;-9999;-9999;-9999;-9999
10;-9999;-9999;-9999;-9999;-9999;-9999;-9999
11;-9999;-9999;-9999;-9999;-9999;-9999;-9999
12;-9999;-9999;-9999;-9999;-9999;-9999;-9999
13;-9999;-9999;-9999;-9999;-9999;-9999;-9999
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
